USGS_ID,Lat,Lon,region,D_5,D_10,D_20,D_50,D_100,S_5,S_10,S_20,S_50,S_100
9118450,38.337222,-106.773611,8-Rocky Mountains,63.0,103.0,147.0,208.0,256.0,889.0,1522.0,2267.0,3408.0,4376.0
9067200,39.647486,-106.6092,8-Rocky Mountains,,,,,,,,,,
9109000,38.818327,-106.609198,8-Rocky Mountains,145.0,249.0,375.0,570.0,739.0,3305.0,5305.0,7429.0,10355.0,12632.0
9059500,39.795722,-106.574347,8-Rocky Mountains,108.0,231.0,410.0,739.0,1063.0,733.0,1247.0,1849.0,2767.0,3546.0
9107000,38.860271,-106.566697,8-Rocky Mountains,,,,,,,,,,
9067020,39.634861,-106.531944,8-Rocky Mountains,,,,,,,,,,
9067000,39.629708,-106.52281,8-Rocky Mountains,39.0,63.0,89.0,125.0,154.0,743.0,1209.0,1737.0,2518.0,3164.0
9066510,39.60943,-106.447808,8-Rocky Mountains,,,,,,,,,,
9058000,40.036652,-106.440032,8-Rocky Mountains,71.0,113.0,160.0,229.0,286.0,900.0,1435.0,2030.0,2896.0,3605.0
9064000,39.405543,-106.433362,8-Rocky Mountains,51.0,81.0,113.0,157.0,191.0,734.0,1170.0,1655.0,2361.0,2940.0
9058500,39.708042,-106.426697,8-Rocky Mountains,,,,,,,,,,
9115500,38.395028,-106.422625,8-Rocky Mountains,,,,,,,,,,
9041090,40.202484,-106.422534,8-Rocky Mountains,,,,,,,,,,
9041400,40.108596,-106.413921,8-Rocky Mountains,,,,,,,,,,
9065100,39.568292,-106.412431,8-Rocky Mountains,33.0,49.0,66.0,90.0,109.0,758.0,1228.0,1759.0,2543.0,3192.0
9064600,39.553875,-106.402529,8-Rocky Mountains,,,,,,,,,,
9066325,39.641097,-106.394751,8-Rocky Mountains,,,,,,,,,,
9063000,39.508319,-106.366695,8-Rocky Mountains,33.0,69.0,122.0,225.0,329.0,1156.0,1998.0,3003.0,4554.0,5884.0
9057500,39.880264,-106.333917,8-Rocky Mountains,52.0,77.0,105.0,144.0,175.0,791.0,1295.0,1871.0,2730.0,3447.0
9065500,39.625819,-106.278082,8-Rocky Mountains,46.0,71.0,98.0,136.0,165.0,897.0,1292.0,1694.0,2235.0,2651.0
9066000,39.596375,-106.265026,8-Rocky Mountains,42.0,61.0,81.0,108.0,128.0,868.0,1338.0,1828.0,2495.0,3009.0
